event_id,lat,lon,timestamp,case_count,region,country,year,month
123,13.82,103.05,2008-04-01,40,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2008,4
124,13.82,103.05,2008-05-01,67,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2008,5
125,13.82,103.05,2008-06-01,144,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2008,6
126,13.82,103.05,2008-07-01,144,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2008,7
127,13.82,103.05,2008-08-01,113,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2008,8
128,13.82,103.05,2008-09-01,76,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2008,9
129,13.82,103.05,2008-10-01,57,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2008,10
130,13.82,103.05,2008-11-01,17,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2008,11
131,13.82,103.05,2008-12-01,7,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2008,12
132,13.82,103.05,2009-01-01,0,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2009,1
133,13.82,103.05,2009-02-01,1,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2009,2
134,13.82,103.05,2009-03-01,4,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2009,3
135,13.82,103.05,2009-04-01,8,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2009,4
136,13.82,103.05,2009-05-01,33,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2009,5
137,13.82,103.05,2009-06-01,68,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2009,6
138,13.82,103.05,2009-07-01,63,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2009,7
139,13.82,103.05,2009-08-01,61,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2009,8
140,13.82,103.05,2009-09-01,36,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2009,9
141,13.82,103.05,2009-10-01,34,"CAMBODIA, BANTEAY MEANCHEY",CAMBODIA,2009,10
